City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Beringovskiy,RU,63.05,179.3167,1.67,86,2,10.4,clear sky
1,Leningradskiy,RU,69.3833,178.4167,1.31,79,3,4.41,clear sky
2,Tolaga Bay,NZ,-38.3667,178.3,58.96,87,1,3.2,clear sky
3,Vaini,TO,-21.2,-175.2,75.36,100,20,1.14,few clouds
4,Ushuaia,AR,-54.8,-68.3,40.66,70,75,11.5,broken clouds
5,Bluff,NZ,-46.6,168.3333,55.8,81,4,11.16,clear sky
6,Kaitangata,NZ,-46.2817,169.8464,50.56,85,1,4.88,clear sky
7,Dunedin,NZ,-45.8742,170.5036,54.81,82,0,1.01,clear sky
8,Longyearbyen,SJ,78.2186,15.6401,13.84,52,0,2.3,clear sky
9,Waipawa,NZ,-41.4122,175.5153,56.98,85,100,7.49,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,-14.6,76,5,7.05,clear sky
11,Asau,RO,46.4333,26.4,33.28,55,9,7.31,clear sky
12,Barrow,US,71.2906,-156.7887,-16.58,83,0,9.22,clear sky
